*UNIQUE-ID,ACCESSION-1,NAME,SYNONYMS,PRODUCT-NAME,SWISS-PROT-ID,START-BASE,END-BASE,DIRECTION,GENE-TYPE,TU-COLOR,TU,Promoters,Sigma,Regulator_activate,Regulator_inhibit
G7223,b2354,yfdK,,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK,P77656,2471077,2471517,-,P,10.0,['TU0-13603'],[[]],[],['YgfI'],[None]
EG11871,b3385,gph,yhfE,phosphoglycolate phosphatase,P32662,3513631,3514389,-,P,5.0,"['TU877', 'TU876', 'TU875', 'TU874', 'TU873', 'TU872']","[['PM1037'], ['PM177'], ['PM176'], ['PM175'], ['PM174'], ['PM173']]","[None, 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None, None, None]","[None, None, None, None, None, None]"
G7361,b2626,yfjJ,,CP4-57 prophage; protein YfjJ,P52125,2760547,2761173,+,P,9.0,['TU0-13691'],[[]],[],[None],[None]
EG11010,b0737,tolQ,"fii,tolP",Tol-Pal system protein TolQ,P0ABU9,775153,775845,+,P,11.0,['TU00367'],[[]],[],[None],[None]
EG10025,b0115,aceF,,dihydrolipoyl-[pyruvate dehydrogenase E2 subunit],,125695,127587,+,P,8.0,"['TU0-45254', 'TU0-45222', 'TU0-6634', 'TU00522']","[['PM0-46556', 'PM0-46556', 'PM0-46556', 'PM00325', 'PM00325', 'PM00325', 'PM0-46556'], ['PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM0-46520'], ['PM0-46556', 'PM0-46556', 'PM0-46556', 'PM00325', 'PM00325', 'PM00325', 'PM00325'], ['PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM0-46520', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324', 'PM00324']]","['RPOS-MONOMER', None, None, 'RPOD-MONOMER', None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, 'RPOD-MONOMER', None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None]","[None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator, Fnr', None, 'Fnr, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['ArcA-Pasp54, Fnr, NsrR', 'PdhR, Fnr, Cra, phosphorylated DNA-binding transcriptional dual regulator BtsR', 'NsrR, Fnr, ArcA-Pasp54', 'phosphorylated DNA-binding transcriptional dual regulator BtsR, Cra, Fnr, PdhR']"
EG11789,b2051,gmm,"nudD,wcaH,yefC",GDP-mannose mannosyl hydrolase,P32056,2125743,2126222,-,P,6.0,['TU0-13499'],[[]],[],[None],[None]
G6714,b1393,paaF,"ydbR,ydbS","putative 2,3-dehydroadipyl-CoA hydratase",P76082,1457497,1458264,+,P,4.0,['TU5'],"[['PM5', 'PM5', 'PM5', 'PM5', 'PM5', 'PM5', 'PM4', 'PM4', 'PM4', 'PM5']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None]","['YgfI, SlyA, CRP-cyclic-AMP DNA-binding transcriptional dual regulator, IHF']","['DNA-binding transcriptional dual regulator Fur, PaaX']"
G7609,b3095,yqjA,ecfL,DedA family protein YqjA,P0AA63,3247773,3248435,+,P,9.0,"['TU0-14286', 'TU0-4205']","[['PM0-9408', 'PM0-9408'], ['PM0-4445']]","['RPOD-MONOMER', None, 'RPOE-MONOMER']","['CpxR-phosphorylated', None]","[None, None]"
EG12033,b2165,psuG,"yeiN,pscG",pseudouridine-5'-phosphate glycosidase,P33025,2257429,2258367,-,P,10.0,['TU0-13546'],[[]],[],['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],[None]
G0-8901,b4427,micC,"IS063,tke8",small regulatory RNA MicC,,1437121,1437231,+,R,6.0,['TU0-8824'],[['PM0-9260']],['RPOD-MONOMER'],[None],[None]
EG10330,b4154,frdA,,fumarate reductase flavoprotein subunit,P00363,4380510,4382318,-,P,1.0,"['TU0-45225', 'TU00023']","[['PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM0-46523'], ['PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM0-46523', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030', 'PM00030']]","['RPOS-MONOMER', None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None]","['DcuR-P, Fnr', 'Fnr, DcuR-P']","['NarL-Pasp59', 'NarL-Pasp59']"
EG11052,b3668,uhpB,,UhpB-<i>N</i>-phospho-L-histidine,,3848634,3850136,-,P,5.0,"['TU0-44221', 'TU0-14764', 'TU00371']","[['PM0-46443'], [], []]",[None],"[None, None, None]","[None, None, None]"
G7736,b3392,hofP,yrfA,DNA utilization protein HofP,P45750,3520615,3521019,-,P,7.0,['TU0-13927'],"[['PM0-10365', 'PM0-10365', 'PM0-10365']]","['RPOS-MONOMER', None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],[None]
EG11835,b3866,yihI,,Der GTPase-activating protein YihI,P0A8H6,4051347,4051856,+,P,10.0,['TU0-14060'],[['PM0-36134']],['RPOD-MONOMER'],[None],[None]
EG30113,b2402,valX,"valU-beta,valUbeta",tRNA-Val(UAC),,2521051,2521126,+,R,4.0,['TU00495'],"[['PM00654', 'PM00654', 'PM00654', 'PM00654']]","['RPOD-MONOMER', None, None, None]",['Fis'],[None]
G6675,b1344,ttcA,ydaO,tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA,P76055,1411013,1411948,-,P,9.0,['TU0-13225'],[[]],[],[None],[None]
EG11969,b3292,zntR,yhdM,DNA-binding transcriptional activator ZntR,P0ACS5,3438705,3439130,-,P,10.0,['TU0-13911'],[['PM0-9719']],['RPOH-MONOMER'],[None],[None]
G7245,b2382,ypdC,,putative AraC-type DNA-binding transcriptional regulator YpdC,P77396,2501130,2501987,+,P,3.0,['TU0-13613'],[[]],[],[None],[None]
G7878,b4247,b4247,,,,4472513,4472845,+,H,,[],[],[],[None],[None]
G6761,b1450,mcbR,yncC,DNA-binding transcriptional dual regulator McbR,P76114,1520262,1520927,+,P,2.0,['TU0-13273'],[[]],[],[None],['YgiV']
EG11838,b3872,yihL,,putative DNA-binding transcriptional regulator YihL,P0ACM9,4060447,4061157,+,P,3.0,['TU0-14062'],[[]],[],[None],[None]
G7448,b2790,yqcA,,putative flavodoxin YqcA,P65367,2922535,2922984,-,P,2.0,['TU0-13736'],[[]],[],[None],[None]
G6185,b0320,yahF,,putative acyl-CoA synthetase YahF,P77187,336778,338325,+,P,10.0,['TU0-12892'],[[]],[],[None],[None]
G0-8785,b4408,csrB,,small regulatory RNA CsrB,,2924156,2924524,-,R,3.0,['TU0-4761'],"[['PM0-5001', 'PM0-5001', 'PM0-5001']]","['RPOD-MONOMER', None, None]","['DksA-ppGpp, ppGpp, DksA, IHF, UvrY-Pasp54']",[None]
EG11104,b0591,entS,ybdA,enterobactin exporter EntS,P24077,622300,623550,+,P,3.0,"['TU0-6043', 'TU0-6042']","[['PM0-4202'], ['PM00227', 'PM00227', 'PM00227', 'PM00227', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201', 'PM0-4201']]","['RPOD-MONOMER', 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None]","[None, 'DNA-binding transcriptional dual regulator Fur']","[None, 'DNA-binding transcriptional dual regulator Fur']"
EG10493,b3772,ilvA,ile,threonine deaminase,P04968,3955331,3956875,+,P,9.0,"['TU0-6651', 'TU526', 'TU525', 'TU524']","[['PM00477'], ['PM00476'], ['PM00474', 'PM00474', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00475'], ['PM00474', 'PM00474', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00475', 'PM00474']]","[None, None, 'RPOD-MONOMER', None, 'RPOD-MONOMER', None, None, None, None, None, None, 'RPOD-MONOMER', None, 'RPOD-MONOMER', None, None, None, None, None, None]","[None, None, 'ppGpp, IHF', None]","[None, None, 'Lrp, Lrp-leu', 'IHF']"
EG10430,b3804,hemD,,uroporphyrinogen-III synthase,P09126,3989088,3989828,-,P,3.0,['TU00283'],[[]],[],[None],[None]
EG10263,b0594,entE,,"2,3-dihydroxybenzoate-AMP ligase",P10378,626070,627680,+,P,5.0,['TU00166'],"[['PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228', 'PM00228']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],['DNA-binding transcriptional dual regulator Fur']
G6580,b1134,nudJ,ymfB,phosphatase NudJ,P0AEI6,1193827,1194288,-,P,6.0,['TU0-13145'],[[]],[],[None],[None]
EG11147,b2471,yffB,,putative reductase YffB,P24178,2591247,2591603,+,P,9.0,['TU0-13642'],[['PM0-9565']],['RPOD-MONOMER'],[None],[None]
EG10926,b2011,sbcB,"exoI,rmuA,cpeA,xonA",exodeoxyribonuclease I,P04995,2082756,2084183,+,P,1.0,['TU0-6513'],[['PM00396']],[None],[None],[None]
G6569,b1111,comR,ycfQ,DNA-binding transcriptional repressor ComR,P75952,1168200,1168832,-,P,2.0,['TU0-8684'],"[['PM0-36234', 'PM0-36234']]","[None, None]",[None],['CRP-cyclic-AMP DNA-binding transcriptional dual regulator']
EG12705,b2958,yggN,ecfF,DUF2884 domain-containing protein YggN,P0ADS9,3100904,3101623,-,P,5.0,"['TU0-4', 'TU0-4191', 'TU0-4189']","[['PM0-5'], ['PM0-4432'], ['PM0-4430']]","[None, 'RPOE-MONOMER', 'RPOE-MONOMER']","[None, None, None]","[None, None, None]"
G0-10595,b4604,yojO,,uncharacterized protein YojO,A5A619,2303606,2303770,+,P,,[],[],[],"[None, None, None]","[None, None, None]"
EG11978,b2039,rfbA,"rmlA,som",glucose-1-phosphate thymidylyltransferase 1,P37744,2110138,2111019,-,P,3.0,"['TU0-14523', 'TU00331']","[['PM0-9806'], []]",[None],"[None, None]","[None, None]"
EG11899,b1349,recT,,Rac prophage; recombinase RecT,P33228,1413984,1414793,-,P,10.0,['TU0-13226'],[[]],[],[None],[None]
EG11502,b0196,rcsF,,sensor lipoprotein RcsF,P69411,219591,219995,-,P,11.0,['TU0-12837'],[[]],[],[None],[None]
EG11726,b3716,cbrB,yieI,putative inner membrane protein,P31468,3897506,3897973,+,P,2.0,"['TU0-36404', 'TU0-14026']","[[], []]",[],"[None, 'CreB-Pasp54']","[None, None]"
EG11530,b1805,fadD,oldD,long-chain-fatty-acid&mdash;CoA ligase,P69451,1888061,1889746,-,P,7.0,['TU0-4187'],"[['PM0-4428', 'PM0-4428', 'PM0-4428', 'PM0-4428', 'PM0-4428', 'PM0-4428']]","['RPOD-MONOMER', None, None, None, None, None]","['ppGpp, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","['FadR, ArcA-Pasp54']"
EG10903,b3296,rpsD,"ramA,sud(2),sud2",30S ribosomal subunit protein S4,P0A7V8,3441055,3441675,-,P,11.0,"['TU0-14658', 'TU00349']","[['PM0-10138'], ['PM406', 'PM406']]","[None, 'RPOD-MONOMER', None]","[None, None]","[None, 'DksA-ppGpp']"
G36,b3081,fadH,ygjL,"2,4-dienoyl-CoA reductase",P42593,3231665,3233683,+,P,8.0,['TU0-13853'],"[['PM0-36147', 'PM0-36147', 'PM0-36147', 'PM0-36147', 'PM0-36147']]","[None, None, None, None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],"['HipB, ArcA-Pasp54, FadR']"
EG11617,b2078,baeS,,BaeS-<i>N</i>-phospho-L-histidine,,2162876,2164279,+,P,8.0,"['TU0-7881', 'TU00244']","[['PM0-8261', 'PM0-8261', 'PM0-8261', 'PM0-8261'], []]","['RPOS-MONOMER', None, None, None]","['BaeR-Pasp61, CpxR-phosphorylated', None]","[None, None]"
G7634,b3136,agaS,yraB,putative galactosamine-6-phosphate deaminase/isomerase,P42907,3281976,3283130,+,P,4.0,['TU0-6583'],"[['PM0-6883', 'PM0-6883', 'PM0-6883', 'PM0-6883', 'PM0-6883', 'PM0-6883', 'PM0-6883']]","['RPOD-MONOMER', None, None, None, None, None, None]",[None],['AgaR']
EG11643,b1535,dgcZ,"ydeG,ydeH",diguanylate cyclase DgcZ,P31129,1622960,1623850,-,P,11.0,['TU0-13308'],"[['PM0-9401', 'PM0-9401', 'PM0-9401']]","['RPOD-MONOMER', None, None]","['DNA-binding transcriptional dual regulator CysB, CpxR-phosphorylated']",['CsrA']
EG11014,b1763,topB,mutR,DNA topoisomerase III,P14294,1844999,1846960,-,P,10.0,"['TU0-14798', 'TU0-14527', 'TU00356']","[['PM0-10512'], ['PM0-9810'], ['PM0-10511']]","[None, None, None]","[None, None, None]","[None, None, None]"
EG10241,b0014,dnaK,"groPF,groPC,seg,grpF,grpC,groPAB",chaperone protein DnaK,P0A6Y8,12163,14079,+,P,11.0,"['TU00418', 'TU00417', 'TU00260']","[['PM00566'], ['PM00317'], ['PM00316']]","['RPOH-MONOMER', 'RPOH-MONOMER', 'RPOH-MONOMER']","[None, None, None]","[None, None, None]"
G6947,b1752,ydjZ,,DedA family protein YdjZ,P76221,1834808,1835515,+,P,3.0,['TU0-13388'],[[]],[],[None],[None]
EG10640,b1227,narI,chlI,nitrate reductase A subunit &gamma;,P11350,1285849,1286526,+,P,5.0,['TU00044'],"[['PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None]","['RstA-Pasp52, IHF, Fnr, NarL-Pasp59']",['Fis']
EG10626,b0099,mutT,nudA,8-oxo-dGTP diphosphatase,P08337,111044,111433,+,P,1.0,['TU0-4343'],[[]],[],[None],[None]
EG12703,b1003,yccJ,,PF13993 family protein YccJ,P0AB14,1066864,1067091,-,P,2.0,['TU0-13114'],"[['PM0-10013', 'PM0-10013', 'PM0-10013', 'PM0-10013']]","['RPOS-MONOMER', None, None, None]","['ppGpp, CsgD']",[None]
EG30052,b0672,leuW,feeB,tRNA-Leu(UAG),,696963,697047,-,R,11.0,['TU00507'],"[['PM00662', 'PM00662', 'PM00662']]","['RPOD-MONOMER', None, None]",['Fis'],['ppGpp']
EG12282,b3578,yiaN,,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",P37675,3744804,3746081,+,P,10.0,"['TU0-14454', 'TU592']","[['PM0-9695'], ['PM449', 'PM449', 'PM449', 'PM692', 'PM692', 'PM692', 'PM692', 'PM692']]","['RPOE-MONOMER', 'RPOD-MONOMER', None, None, 'RPOD-MONOMER', None, None, None, None]","[None, 'IHF, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","[None, 'PlaR']"
G6566,b1106,thiK,ycfN,thiamine kinase,P75948,1163260,1164084,+,P,10.0,['TU0-13136'],[[]],[],[None],[None]
EG10128,b1709,btuD,,vitamin B<sub>12</sub> ABC transporter ATP binding subunit,P06611,1792809,1793558,-,P,2.0,"['TU0-44193', 'TU00246']","[['PM0-46416'], []]",['RPOD-MONOMER'],"[None, None]","[None, None]"
EG11727,b3717,cbrC,yieJ,PF03691 family colicin E2 tolerance protein CbrC,P31469,3898022,3898609,+,P,2.0,"['TU0-36404', 'TU0-14027']","[[], []]",[],"[None, None]","[None, None]"
EG12277,b3573,ysaA,yiaI,putative electron transport protein YsaA,P56256,3741109,3741582,-,P,8.0,['TU0-13985'],[[]],[],[None],[None]
G7012,b1839,yebY,,DUF2511 domain-containing protein YebY,P64506,1923365,1923706,-,P,2.0,['TU0-13432'],[[]],[],[None],['FnrS']
G6129,b0254,perR,,CP4-6 prophage; putative transcriptional regulator PerR,Q57083,269289,270182,-,P,5.0,['TU0-12861'],[[]],[],[None],[None]
EG10699,b3916,pfkA,,6-phosphofructokinase 1,P0A796,4107552,4108514,+,P,6.0,"['TU0-45239', 'TU0-45236', 'TU0-14813', 'TU788']","[['PM0-46539'], ['PM0-46536', 'PM933', 'PM0-46536'], ['PM0-10550'], ['PM0-46536', 'PM933', 'PM933']]","['RPOS-MONOMER', 'RPOS-MONOMER', 'RPOD-MONOMER', None, 'RPOD-MONOMER', 'RPOS-MONOMER', 'RPOD-MONOMER', None]","[None, None, None, None]","[None, 'Cra', None, 'Cra']"
EG12102,b3409,feoB,,Fe<sup>2+</sup> transporter FeoB,P33650,3540407,3542728,+,P,6.0,['TU00269'],"[['PM0-8860', 'PM0-8860', 'PM0-8860', 'PM0-8860', 'PM0-8860']]","['RPOD-MONOMER', None, None, None, None]","['OmpR-P, Fnr']",['DNA-binding transcriptional dual regulator Fur']
EG11474,b3834,ubiJ,yigP,ubiquinone biosynthesis accessory factor UbiJ,P0ADP7,4019624,4020229,+,P,3.0,['TU0-5881'],[[]],[],[None],[None]
G7044,b1936,intG,,putative defective phage integrase,P76323,2012502,2012780,+,S,8.0,['TU0-8838'],[[]],[],[None],[None]
G0-8882,b4445,omrB,"PAIR2b,t59,rygB",small regulatory RNA OmrB,,2976304,2976385,-,R,10.0,['TU0-8762'],"[['PM0-9198', 'PM0-9198']]","[None, None]",['OmpR-P'],[None]
EG10153,b0827,moeA,"bisB,chlE,narE",molybdopterin molybdotransferase,P12281,865129,866364,-,P,2.0,['TU00302'],"[['PM0-4427', 'PM0-4427', 'PM0-4427', 'PM0-4427', 'PM0-4427', 'PM0-4427']]","['RPOD-MONOMER', None, None, None, None, None]","['NsrR, ArcA-Pasp54, NarL-Pasp59']",['Fnr']
G7892,b4266,idnO,yjgU,5-keto-D-gluconate 5-reductase,P0A9P9,4492587,4493351,-,P,4.0,['TU0-4682'],"[['PM0-4922', 'PM0-4922', 'PM0-4922', 'PM0-4922', 'PM0-4922', 'PM0-4922', 'PM0-4921', 'PM0-4921', 'PM0-4921', 'PM0-4921', 'PM0-4921', 'PM0-4921', 'PM0-4922']]","[None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None]","['IdnR-5-ketogluconate, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']",['GntR']
G7066,b4497,yeeL,"yeeK,b1980,b1979","putative glycosyltransferase, N-terminal fragment",P76349,2052276,2053328,-,S,1.0,['TU0-13473'],[[]],[],[None],[None]
EG10408,b2551,glyA,,serine hydroxymethyltransferase,P0A825,2684254,2685507,-,P,9.0,['TU00192'],"[['PM00268', 'PM00268', 'PM00268', 'PM00268', 'PM00268', 'PM00415', 'PM00415', 'PM00415', 'PM00415', 'PM00415', 'PM00415', 'PM00415']]","['RPOD-MONOMER', None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None]",['MetR-L-homocysteine'],"['MetR-L-homocysteine, PurR-hypoxanthine']"
EG11361,b2064,asmA,yegA,putative assembly protein AsmA,P28249,2139759,2141612,-,P,9.0,['TU0-13500'],[[]],[],[None],[None]
G6445,b0847,ybjL,,putative transport protein YbjL,P60869,888134,889819,-,P,5.0,['TU0-13071'],[[]],[],[None],[None]
EG10775,b4160,psd,,phosphatidylserine decarboxylase proenzyme,P0A8K1,4389392,4390360,-,P,5.0,['TU0-3424'],"[['PM0-3624', 'PM0-3624']]","['RPOE-MONOMER', None]",[None],['CpxR-phosphorylated']
EG10975,b2576,srmB,"rbaB,rhlA",ATP-dependent RNA helicase SrmB,P21507,2712896,2714230,+,P,5.0,['TU0-8521'],[[]],[],[None],[None]
EG11181,b3337,bfd,yheA,bacterioferritin-associated ferredoxin,P0AE56,3466797,3466991,-,P,5.0,['TU0-13914'],[[]],[],[None],[None]
EG11000,b0004,thrC,,threonine synthase,P00934,3734,5020,+,P,1.0,['TU00178'],"[['PM00249', 'PM00249']]","['RPOD-MONOMER', None]","['ppGpp, DksA-ppGpp']",[None]
EG11015,b3919,tpiA,tpi,triose-phosphate isomerase,P0A858,4110740,4111507,-,P,9.0,"['TU0-45203', 'TU0-14668', 'TU0-8061']","[['PM0-46503', 'PM0-46503'], ['PM0-10170', 'PM0-10170'], ['PM0-8441']]","['RPOS-MONOMER', None, 'RPOD-MONOMER', None, None]","[None, None, None]","['Cra', 'Cra', None]"
EG10675,b1244,oppB,,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB,P0AFH2,1302899,1303819,+,P,6.0,"['TU0-45147', 'TU00222']","[['PM0-46450'], ['PM00306', 'PM00306', 'PM00306', 'PM00306', 'PM00306']]","[None, 'EG11355-MONOMER', None, None, None, None]","[None, 'spermidine']","[None, 'GcvB, DNA-binding transcriptional dual regulator Fur, Lrp, ArcA-Pasp54, ModE-MoO42-']"
EG11075,b3564,xylB,,xylulokinase,P09099,3727917,3729371,-,P,3.0,['TU67'],"[['PM70', 'PM70', 'PM70', 'PM70', 'PM70', 'PM70', 'PM68', 'PM68', 'PM68', 'PM68', 'PM68', 'PM68']]","[None, None, None, None, None, None, None, None, None, None, None, None]","['XylR-xylose, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']",['AraC-arabinose']
EG12631,b4476,gntU,"b3435,b3436",low-affinity gluconate transporter,P0AC96,3575721,3577061,-,P,10.0,"['TU0-42252', 'TU0-4881', 'TU00228']","[[], [], ['PM00314', 'PM00314', 'PM00314', 'PM00314', 'PM00314', 'PM00314']]","['RPOD-MONOMER', None, None, None, None, None]","[None, None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator']","[None, None, 'GntR, IdnR-5-ketogluconate']"
EG12859,b1424,opgD,"yzzZ,ydcG,mdoD",glucans biosynthesis protein D,P40120,1496856,1498511,+,P,4.0,['TU0-13259'],[[]],[],[None],[None]
G6671,b1339,abgR,,putative LysR-type DNA-binding transcriptional regulator AbgR,P77744,1404741,1405649,+,P,3.0,['TU0-8760'],[[]],[],['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],['Nac']
EG10388,b0810,glnP,,L-glutamine ABC transporter membrane subunit,P0AEQ6,846460,847119,-,P,11.0,"['TU0-6649', 'TU00172']","[['PM00352'], ['PM00235', 'PM00235', 'PM00235', 'PM00235', 'PM00235', 'PM00235', 'PM00235']]","[None, 'RPON-MONOMER', None, None, None, None, None, None]","[None, 'IHF, NtrC phosphorylated dimer']","[None, 'NtrC phosphorylated dimer']"
EG12364,b4271,intB,"int(P4),yjgC",KpLE2 phage-like element; putative integrase,P39347,4496750,4497940,+,S,8.0,['TU0-14178'],[[]],[],[None],[None]
EG12161,b0297,eaeH,,putative porin domain-containing protein EaeH,P36943,314357,315244,+,S,10.0,['TU0-12882'],[[]],[],[None],[None]
G6224,b0373,insE2,,IS3 element protein InsE,P0CF67,392602,392901,-,P,4.0,['TU0-12910'],[[]],[],[None],[None]
G6103,b0219,yafV,,2-oxoglutaramate amidase,Q47679,239419,240189,-,P,6.0,['TU0-8545'],[['PM0-9967']],[None],[None],[None]
EG11680,b3201,lptB,yhbG,lipopolysaccharide transport system ATP binding protein LptB,P0A9V1,3343944,3344669,+,P,5.0,"['TU0-36433', 'TU0-36432', 'TU0-36431', 'TU0-14291', 'TU0-36430', 'TU0-14292', 'TU-8398']","[['PM0-36211'], ['PM0-36210'], ['PM0-36209'], ['PM0-9421'], ['PM0-9420'], ['PM0-9422'], ['PM-8781']]","['RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOE-MONOMER', 'RPOE-MONOMER']","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]"
EG12844,b2017,yefM,,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,P69346,2089462,2089713,-,P,6.0,['TU0-13493'],"[['PM0-10318', 'PM0-10318', 'PM0-10318', 'PM0-10318', 'PM0-10318']]","['RPOD-MONOMER', None, None, None, None]",[None],"['YefM, YefMB']"
EG12111,b2742,nlpD,,murein hydrolase activator NlpD,P0ADA3,2867614,2868753,-,P,8.0,"['TU00440', 'TU00309']","[['PM00587'], ['PM00586']]","['RPOD-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
EG12251,b3524,yhjG,yhjF,AsmA family protein YhjG,P37645,3676290,3678350,-,P,3.0,['TU0-13969'],[['PM0-9766']],['RPOS-MONOMER'],[None],[None]
G7709,b3331,gspJ,yheI,cryptic type II secretion system minor pseudopilin GspJ,P45761,3462344,3462931,+,P,4.0,"['TU0-14374', 'TU0-14373', 'TU0-13913']","[['PM0-9514'], ['PM0-9513', 'PM0-9513', 'PM0-9513'], ['PM0-9512', 'PM0-9512', 'PM0-9512']]","[None, 'RPOD-MONOMER', None, None, 'RPOD-MONOMER', None, None]","[None, 'SlyA', None]","[None, 'H-NS', 'DNA-binding transcriptional dual regulator Fur, H-NS']"
EG11199,b3742,mioC,yieB,flavoprotein MioC,P03817,3926012,3926455,-,P,8.0,"['TU0-14263', 'TU0-14262', 'TU0-14030']","[['PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154'], ['PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154', 'PM00154'], ['PM0-10155', 'PM0-10155', 'PM0-10155', 'PM0-10155', 'PM0-10155']]","['RPOD-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None]","['AsnC, Nac', 'AsnC, Nac', 'ppGpp, MraZ']"
EG12191,b0450,glnK,ybaI,uridylyl-[protein PII-2],,472598,472936,+,P,8.0,['TU587'],"[['PM687', 'PM687', 'PM687', 'PM687', 'PM687', 'PM687', 'PM687']]","['RPON-MONOMER', None, None, None, None, None, None]","['DNA-binding transcriptional dual regulator Fur, Fnr, NtrC phosphorylated dimer, GadX']","['DNA-binding transcriptional dual regulator Fur, Fnr']"
G6179,b0309,b0309,,,,324408,324620,-,H,,[],[],[],"['DNA-binding transcriptional dual regulator Fur, Fnr, NtrC phosphorylated dimer, GadX']","['DNA-binding transcriptional dual regulator Fur, Fnr']"
G6680,b1356,racR,"rarC,ydaR",Rac prophage; DNA-binding transcriptional regulator RacR,P76062,1419765,1420241,-,P,5.0,['TU0-13230'],[[]],[],[None],[None]
G6181,b0316,yahB,,putative LysR-type DNA-binding transcriptional regulator YahB,P77700,333501,334433,-,P,8.0,['TU0-12890'],[[]],[],[None],[None]
G7954,b4402,yjjY,,uncharacterized protein YjjY,P0ADD9,4640402,4640542,+,P,1.0,['TU0-12785'],[[]],[],[None],[None]
